Litter type,Block,Plot,Position,Months,Percent N mass remaining
pine,A,7,Surface,6,110.43
pine,A,8,Surface,6,111.8
pine,A,9,Surface,6,98.1
pine,A,10,Surface,6,84.56
pine,A,10,Surface,6,108.78
pine,A,11,Surface,6,84.08
,,,,,
pine,B,1,Surface,6,130.72
pine,B,2,Surface,6,95.02
pine,B,3,Surface,6,99.84
pine,B,4,Surface,6,143.86
pine,B,5,Surface,6,106.51
pine,B,6,Surface,6,128.82
pine,B,7,Surface,6,93.28
pine,B,8,Surface,6,133.15
pine,B,10,Surface,6,99.22
pine,B,11,Surface,6,103.56
pine,B,11,Surface,6,107.43
pine,B,12,Surface,6,145.96
,,,,,
pine,C,1,Surface,6,109.93
pine,C,2,Surface,6,118.16
pine,C,3,Surface,6,102.42
pine,C,4,Surface,6,103.14
pine,C,4,Surface,6,114.17
pine,C,4,Surface,6,118.38
pine,C,6,Surface,6,92.33
pine,C,7,Surface,6,106.82
pine,C,8,Surface,6,133.14
pine,C,9,Surface,6,108.54
pine,C,10,Surface,6,97.83
pine,C,11,Surface,6,114.44
pine,C,12,Surface,6,146.21
,,,,,
,,,,,
pine,A,1,Surface,12,82.36
pine,A,3,Surface,12,86.55
pine,A,4,Surface,12,94.78
pine,A,5,Surface,12,108.78
pine,A,6,Surface,12,97.23
pine,A,7,Surface,12,107.66
pine,A,8,Surface,12,86.6
pine,A,9,Surface,12,126.66
pine,A,11,Surface,12,114.6
pine,A,12,Surface,12,88.77
pine,A,12,Surface,12,123.86
,,,,,
pine,B,1,Surface,12,123.5
pine,B,3,Surface,12,130.43
pine,B,4,Surface,12,125.3
pine,B,5,Surface,12,131.94
pine,B,7,Surface,12,125.09
pine,B,8,Surface,12,126.68
pine,B,9,Surface,12,115.21
pine,B,10,Surface,12,111.89
pine,B,11,Surface,12,117.4
pine,B,11,Surface,12,121.03
pine,B,12,Surface,12,116.04
,,,,,
pine,C,1,Surface,12,107.91
pine,C,2,Surface,12,105.2
pine,C,2,Surface,12,108.68
pine,C,3,Surface,12,113.82
pine,C,5,Surface,12,89.72
pine,C,5,Surface,12,113.38
pine,C,6,Surface,12,100.18
pine,C,6,Surface,12,132.12
pine,C,7,Surface,12,106.81
pine,C,8,Surface,12,98.11
pine,C,9,Surface,12,106.58
pine,C,10,Surface,12,119.76
pine,C,11,Surface,12,115.79
pine,C,12,Surface,12,117.25
,,,,,
,,,,,
pine,A,1,Surface,18,99.12
pine,A,2,Surface,18,94.26
pine,A,3,Surface,18,120.46
pine,A,4,Surface,18,94.22
pine,A,5,Surface,18,86.24
pine,A,6,Surface,18,126.72
pine,A,7,Surface,18,134.09
pine,A,8,Surface,18,139.55
pine,A,9,Surface,18,108.6
pine,A,10,Surface,18,115.36
pine,A,11,Surface,18,164.28
pine,A,12,Surface,18,122.88
,,,,,
pine,B,1,Surface,18,71.59
pine,B,2,Surface,18,91.5
pine,B,3,Surface,18,85.72
pine,B,4,Surface,18,119.91
pine,B,5,Surface,18,104.58
pine,B,6,Surface,18,94.95
pine,B,7,Surface,18,103.03
pine,B,8,Surface,18,86.97
pine,B,9,Surface,18,115.41
pine,B,10,Surface,18,115.99
pine,B,11,Surface,18,136.16
pine,B,12,Surface,18,100.13
,,,,,
pine,C,1,Surface,18,154.79
pine,C,2,Surface,18,109.76
pine,C,3,Surface,18,69.07
pine,C,4,Surface,18,124.56
pine,C,5,Surface,18,117.41
pine,C,6,Surface,18,122.02
pine,C,7,Surface,18,118.95
pine,C,8,Surface,18,129.91
pine,C,9,Surface,18,84.89
pine,C,11,Surface,18,134.05
pine,C,12,Surface,18,93.17
,,,,,
,,,,,
pine,A,1,Surface,24,123.42
pine,A,2,Surface,24,108.31
pine,A,3,Surface,24,107.41
pine,A,4,Surface,24,98.51
pine,A,5,Surface,24,104.21
pine,A,6,Surface,24,117.69
pine,A,7,Surface,24,98.68
pine,A,8,Surface,24,104.98
pine,A,9,Surface,24,115.79
pine,A,10,Surface,24,86.22
pine,A,11,Surface,24,97.39
pine,A,12,Surface,24,88.89
,,,,,
pine,B,1,Surface,24,103.36
pine,B,2,Surface,24,119.19
pine,B,3,Surface,24,114.39
pine,B,4,Surface,24,94.75
pine,B,6,Surface,24,129.93
pine,B,7,Surface,24,103.4
pine,B,8,Surface,24,98.34
pine,B,9,Surface,24,116.13
pine,B,10,Surface,24,87.76
pine,B,12,Surface,24,115.25
,,,,,
pine,C,1,Surface,24,98.04
pine,C,2,Surface,24,95.43
pine,C,3,Surface,24,89.7
pine,C,4,Surface,24,110.56
pine,C,5,Surface,24,85.13
pine,C,6,Surface,24,121.01
pine,C,7,Surface,24,110.03
pine,C,8,Surface,24,102.4
pine,C,9,Surface,24,100.29
pine,C,11,Surface,24,107.08
pine,C,12,Surface,24,114.14
,,,,,
,,,,,
pine,A,1,Surface,36,93.47
pine,A,3,Surface,36,91.66
pine,A,3,Surface,36,120.51
pine,A,4,Surface,36,73.33
pine,A,5,Surface,36,93.54
pine,A,6,Surface,36,117.85
pine,A,7,Surface,36,85.8
pine,A,8,Surface,36,99.35
pine,A,9,Surface,36,72.83
pine,A,10,Surface,36,102.33
