LitterType,Block,Plot,Position,Months,Percent P mass remaining
pine,A,8,Surface,48,5.52
pine,A,9,Surface,48,53.75
pine,A,10,Surface,48,25.66
pine,A,11,Surface,48,109.73
pine,A,12,Surface,48,27.76
,,,,,
pine,B,1,Surface,48,21.14
pine,B,2,Surface,48,77.42
pine,B,3,Surface,48,121.52
pine,B,4,Surface,48,83.37
pine,B,5,Surface,48,95.45
pine,B,7,Surface,48,46.72
pine,B,7,Surface,48,75.17
pine,B,8,Surface,48,43.57
pine,B,9,Surface,48,51.5
pine,B,10,Surface,48,107.79
pine,B,12,Surface,48,91.85
,,,,,
pine,C,3,Surface,48,117.06
pine,C,4,Surface,48,126.57
pine,C,5,Surface,48,59.88
pine,C,7,Surface,48,106.4
pine,C,8,Surface,48,106.82
pine,C,9,Surface,48,72.18
pine,C,10,Surface,48,61.72
pine,C,11,Surface,48,12.4
pine,C,12,Surface,48,25.64
,,,,,
Mixed,A,1,Buried,6,55.51
Mixed,A,2,Buried,6,63.37
Mixed,A,3,Buried,6,80.54
Mixed,A,4,Buried,6,146.97
Mixed,A,6,Buried,6,106.93
Mixed,A,7,Buried,6,114.9
Mixed,A,8,Buried,6,246.79
Mixed,A,10,Buried,6,52.24
Mixed,A,10,Buried,6,86.3
Mixed,A,11,Buried,6,70.15
,,,,,
Mixed,B,1,Buried,6,48.92
Mixed,B,2,Buried,6,55.04
Mixed,B,3,Buried,6,54.17
Mixed,B,4,Buried,6,48.47
Mixed,B,5,Buried,6,79.46
Mixed,B,6,Buried,6,61.79
Mixed,B,7,Buried,6,53.01
Mixed,B,8,Buried,6,44.33
Mixed,B,11,Buried,6,45.29
Mixed,B,11,Buried,6,58.23
Mixed,B,12,Buried,6,45.51
,,,,,
Mixed,C,1,Buried,6,74.91
Mixed,C,2,Buried,6,79.96
Mixed,C,3,Buried,6,137.43
Mixed,C,4,Buried,6,30.23
Mixed,C,6,Buried,6,32.59
Mixed,C,7,Buried,6,55.63
Mixed,C,9,Buried,6,100.13
Mixed,C,10,Buried,6,65.21
Mixed,C,11,Buried,6,203.27
Mixed,C,12,Buried,6,25.92
,,,,,
,,,,,
Mixed,A,1,Buried,12,108.94
Mixed,A,2,Buried,12,69.21
Mixed,A,4,Buried,12,11.77
Mixed,A,5,Buried,12,31.86
Mixed,A,6,Buried,12,41.45
Mixed,A,7,Buried,12,35.89
Mixed,A,9,Buried,12,62.56
Mixed,A,11,Buried,12,26.08
Mixed,A,12,Buried,12,43.67
Mixed,A,12,Buried,12,64.29
,,,,,
Mixed,B,1,Buried,12,77.79
Mixed,B,2,Buried,12,103.41
Mixed,B,4,Buried,12,94.48
Mixed,B,5,Buried,12,30.06
Mixed,B,6,Buried,12,92.61
Mixed,B,7,Buried,12,25.61
Mixed,B,8,Buried,12,28.41
Mixed,B,9,Buried,12,75.29
Mixed,B,10,Buried,12,90.12
Mixed,B,11,Buried,12,54.11
Mixed,B,12,Buried,12,69.79
,,,,,
Mixed,C,1,Buried,12,113.29
Mixed,C,2,Buried,12,93.77
Mixed,C,3,Buried,12,63.58
